Bank_ID,Card_Link,Card_Image,Card_ID,Card_Type,Card_Network,Islamic,Annual_Fee,Joining_Fee,Interest_Rate_APR,Foreign_Transaction_Fee,Balance_Transfer_Fee,Cash_Advance_Fee,Grace_Period_Days,Late_Payment_Fee,Min_Age,Max_Age,Minimum_Credit_Score,Minimum_Income,Credit_Limit,Welcome_Bonus_Points,Max_Annual_Points,Points_per_1_Hotel,Points_per_1_International,Points_per_1_Domestic_Shopping,Points_per_1_Domestic_Groceries,Points_per_1_Domestic_Other,Express_Points_Available,Express_Points_Fee,Airport_Lounge_Access,Mastercard_Lounge_Access,Complimentary_Airport_Transfers,Hotel_Free_Nights,Marriott_Bonvoy_Elite_Status,Elite_Night_Credits,Free_Night_Award,Rental_Collision_Loss_Damage_Waiver,Travel_Insurance,Travel_Insurance_Confirmation_Letter,Dining_Benefits,Shopping_Benefits,Lifestyle_Benefits,Health_Wellness_Benefits,Subscription_Discounts,Bicester_Village_Shopping_Offers,Farfetch_Discount,Bookingcom_Discount,MyUS_Premium_Shipping,Lingokids_Discount,Complimentary_Food_Drink_Costa,Valet_Parking,Hertz_Gold_Plus_Rewards,Avis_Car_Rental_Discount,Lime_Discounted_Rides,Auto_Salik_Topup,Instant_Cash_Withdrawal,Insurance_Benefits,Credit_Shield_Pro,Purchase_Protection,Extended_Warranty,Roadside_Assistance,24_Hour_Assistance,DoubleSecure_Protection,No_Foreign_Transaction_Fee,Mastercard_Global_Emergency_Services,Concierge_Service,Movie_Benefits,Golf_Privilege,Flexible_Payment_Options,Interest_Free_Days,Online_Access,SMS_Alerts,Crypto_Rewards,Mastercard_Experience_Offers
2,https://www.emiratesnbd.com/en/cards/credit-cards/etihad-guest-visa-inspire,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/etihad-guest-elevate/etihad-guest-visa-inspire-creditcard_image.png,Etihad Guest Visa Inspire,1,1,0,735,1575,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/u-by-emaar-signature-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/emaar-signature_card.png,U By Emaar Signature Credit Card,1,0,0,262,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,1,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/dnata-platinum-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/dnata-platinum_card.png,dnata Platinum Credit Card,1,0,0,525,N/A,3.25,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,,,0,0,0,,,,1,1,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/noon-one-visa-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/enbd_noon_one_credit_card_front.png,noon One Visa Credit Card,1,1,0,N/A,N/A,N/A,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,,,0,0,0,,,,1,0,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/duo-credit-cards,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/duo_card-2.webp,Duo Credit Card,1,0,0,N/A,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/go4it-gold-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/go4it-gold_card.png,Go4it Gold Credit Card,1,0,0,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/mastercard-platinum-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/mastercard-platinum_card_image.png,Mastercard Platinum Credit Card,1,2,0,N/A,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,,,0,0,0,,,,1,1,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/mastercard-titanium-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/titanium-cc_front.png,Mastercard Titanium Credit Card,1,2,0,N/A,N/A,N/A,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,,,0,0,0,,,,1,0,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/u-by-emaar-family-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/emaar-family_card.png,U By Emaar Family Credit Card,1,0,0,N/A,N/A,N/A,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/visa-flexi-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/visaflex_card.png,Visa Flexi Credit Card,1,1,0,N/A,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/priority-banking-visa-infinite-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/prb_vi_cc_pack.png,Priority Banking Visa Infinite Credit Card,1,1,0,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/visa-infinite-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/visa-infinite-cc_front.png,Visa Infinite Credit Card,1,1,0,N/A,N/A,N/A,,,,,,,,,30000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/visa-platinum-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/visa-platinum_card_image.png,Visa Platinum Credit Card,1,1,0,N/A,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,,,0,0,0,,,,1,0,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/webshopper-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/webshopper_card.png,Webshopper Credit Card,1,0,0,735,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/go4it-platinum-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/go4it_platinum_creditcard.png,Go4it Platinum Credit Card,1,0,0,N/A,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/lulu-247-platinum-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/luluplatinum_card.png,LuLu 247 Platinum Credit Card,1,0,0,262,N/A,3.25,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,,,0,0,1,,,,1,1,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/manchester-united-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/manchester-united_card.png,Manchester United Credit Card,1,0,0,N/A,N/A,N/A,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,,,0,0,0,,,,1,1,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/lulu-247-titanium-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/lulutitanium_card.png,LuLu 247 Titanium Credit Card,1,0,0,N/A,N/A,3.25,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/diners-club-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/diners-club_card.png,Diners Club Credit Card,1,4,0,N/A,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,,0,0,0,,,,1,1,1,,0
